王羊,王菲,王苹,王9,王0,2,2
赵本山,<本山,毡本山,气本山,赴本山,1,2
韩红,韩纡,韩纤,韩经,韩坌,1,2
特朗普,持朗普,待朗普,犄朗普,侍朗普,1,2
雷锋,霉锋,番锋,:锋,雹锋,1,2
库里,库星,库|,库垦,库.,1,2
马云,马{,马亍,马元,马亏,1,2
诸葛亮,诸葛完,诸葛竞,诸葛莞,诸葛旁,1,2
王宝强,王宝弹,王宝,王宝骚,王宝殚,1,2
拜凳,拜甓,拜蕊,拜登,拜赘,4,2
奥思马,奥忠马,奥咫马,奥-马,奥恩马,5,2
仓央~措,仓央嘉措,仓央幕措,仓央篱措,仓央彘措,2,2
华眷莹,华春莹,华舂莹,华耷莹,华乔莹,2,2
孔孑,孔子,孔孓,孔天,孔干,2,2
张继科,张醚科,张7科,张谜科,张迷科,1,2
那茧,那英,那茁,那垂,那苹,2,2
约翰克里斯朵夫,约鞠克里斯朵夫,约翱克里斯朵夫,约朝克里斯朵夫,约帮克里斯朵夫,1,1
大卫科液菲尔,大卫科波菲尔,大卫科渡菲尔,大卫科疲菲尔,大卫科菠菲尔,2,1
爱新觉罗弘毅,爱新觉罗引毅,爱新觉罗张毅,爱新觉罗弦毅,爱新觉罗弧毅,1,1
夏洛克福尔摩斯,爱洛克福尔摩斯,复洛克福尔摩斯,戛洛克福尔摩斯,度洛克福尔摩斯,1,1
迈克尔杰克逊,迈克尔杰克逖,迈克尔杰克泓,迈克尔杰克,迈克尔杰克讽,1,1
泰勒斯威夫特,泰勒斯咸夫特,泰勒斯戚夫特,泰勒斯贼夫特,泰勒斯盛夫特,1,1
理查德布莱德曼,理杳德布莱德曼,理奁德布莱德曼,理耷德布莱德曼,理沓德布莱德曼,1,1
安娜卡列尼娜,安娜卡刎尼娜,安娜卡冽尼娜,安娜卡刃尼娜,安娜卡死尼娜,1,1
列夫托尔斯泰,列夹托尔斯泰,列头托尔斯泰,列未托尔斯泰,列沃托尔斯泰,1,1
陀思妥耶夫斯基,陀思娈耶夫斯基,陀思妾耶夫斯基,陀思!耶夫斯基,陀思姿耶夫斯',1,1
马克西姆高尔基,马克西姆高尔蹇,马克西姆高尔甚,马克西姆高尔%,马克西姆高尔瑟,1,1
约翰施特劳斯,绮翰施特劳斯,纣翰施特劳斯,翰施特劳斯,绉翰施特劳斯,1,1
约瑟夫斯太林,约毖夫斯太林,约趑夫斯太林,约愁夫斯太林,约悲夫斯太林,5,1
温斯顿丘吉尔,滥斯顿丘吉尔,湿斯顿丘吉尔,愠斯顿丘吉尔,韫斯顿丘吉尔,1,1
查尔斯狄更斯,奁尔斯狄更斯,耷尔斯狄更斯,杳尔斯狄更斯,沓尔斯狄更斯,1,1
欧庆斯特海明威,欧厌斯特海明威,欧祆斯特海明威,欧仄斯特海明威,欧灰斯特海明威,5,1
李然,夺然,夸然,孕然,专然,1,3
张傥莹,张悦莹,张脱莹,张谠莹,张说莹,2,3
荑旭添,黄旭添,夤旭添,蓑旭添,<旭添,2,3
